"player","teamName","count","countdeepkey","games"
"Turner","Indiana Pacers",19,6,41
"Udrih","Miami Heat",1,1,42
"Valanciunas","Toronto Raptors",45,23,41
"Varejao","Cleveland Cavaliers",9,2,36
"Vasquez","Milwaukee Bucks",2,0,43
"Vaughn","Milwaukee Bucks",1,1,43
"Villanueva","Dallas Mavericks",8,6,43
"Vonleh","Portland Trail Blazers",47,22,44
"Vucevic","Orlando Magic",78,28,41
"Vujacic","New York Knicks",3,3,44
"Wade","Miami Heat",13,5,42
"Waiters","Oklahoma City Thunder",8,5,44
"Walker","Charlotte Hornets",7,2,42
"Wall","Washington Wizards",5,2,40
"Warren","Phoenix Suns",6,3,41
"Weems","Phoenix Suns",1,0,41
"West","San Antonio Spurs",39,13,40
"Westbrook","Oklahoma City Thunder",9,6,44
"Whiteside","Miami Heat",98,47,42
"Wiggins","Minnesota Timberwolves",12,8,41
"Williams","Charlotte Hornets",17,7,42
"Williams","Cleveland Cavaliers",8,4,36
"Williams","Dallas Mavericks",6,2,43
"Williams","Los Angeles Lakers",5,1,44
"Williams","New York Knicks",22,7,44
"Winslow","Miami Heat",14,8,42
"Withey","Utah Jazz",32,14,42
"Wood","Philadelphia 76ers",8,5,39
"World Peace","Los Angeles Lakers",4,2,44
"Wright","Memphis Grizzlies",5,4,43
"Young","Brooklyn Nets",62,14,41
"Young","Los Angeles Lakers",9,5,44
"Zeller","Boston Celtics",10,2,39
"Zeller","Charlotte Hornets",101,39,42
